video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,123.78002405166626,0.38892412185668945
output1.ts,5095740,124.40794706344604,0.3123512268066406
output7.ts,8027976,122.1280574798584,0.26474785804748535
output23.ts,5042724,125.06766319274904,0.2625734806060791
output22.ts,4866756,123.33494424819946,0.2676239013671875
output29.ts,6691296,125.4807233810425,0.26278209686279297
output24.ts,5454444,123.81181716918945,0.298389196395874
output12.ts,8384424,128.03475856781006,0.28186869621276855
output28.ts,6103044,121.87336683273315,0.305894136428833
output18.ts,3497928,123.96553754806519,0.24607610702514648
output20.ts,4647736,123.69147539138794,0.2774012088775635
output17.ts,3526128,120.52329778671265,0.26968955993652344
output27.ts,6162828,123.02324771881104,0.2652883529663086
output19.ts,3990112,118.80688667297363,0.2738912105560303
output21.ts,4236392,123.59648942947388,0.2806258201599121
output10.ts,8562272,124.07022714614868,0.3301117420196533
output5.ts,6972920,122.21193313598633,0.28934407234191895
output16.ts,4495832,121.81148529052734,0.2556467056274414
output4.ts,5974076,134.49418544769287,0.26605772972106934
output15.ts,10896480,125.38247108459471,0.29903173446655273
output9.ts,8634464,119.31180953979492,0.23750925064086914
output6.ts,7490108,123.838210105896,0.31351256370544434
output11.ts,8662288,124.70918893814087,0.287825345993042
output13.ts,10118536,121.87340259552002,0.2879970073699951
output25.ts,5734564,121.23000621795654,0.23791074752807617
output2.ts,5244072,125.14653205871582,0.2621119022369385
output26.ts,5520808,121.33159637451172,0.29288721084594727
output14.ts,10756984,120.30986547470093,0.2932853698730469
