video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,439.15261030197144,0.4965040683746338
output1.ts,5095740,447.6056456565857,0.24166417121887207
output7.ts,8027976,445.7172989845276,0.20786762237548828
output23.ts,5042724,447.4473237991333,0.20438265800476074
output22.ts,4866756,451.1314034461975,0.2169802188873291
output29.ts,6691296,439.94033336639404,0.21460390090942383
output24.ts,5454444,447.63139486312866,0.27318668365478516
output12.ts,8384424,448.3830690383911,0.2611818313598633
output28.ts,6103044,445.1220750808716,0.23819208145141602
output18.ts,3497928,442.3526883125305,0.28220033645629883
output20.ts,4647736,446.2733268737793,0.26483702659606934
output17.ts,3526128,438.9574408531189,0.2290053367614746
output27.ts,6162828,446.26909494400024,0.26192307472229004
output19.ts,3990112,439.4745469093323,0.2934572696685791
output21.ts,4236392,436.1868143081665,0.27324938774108887
output10.ts,8562272,442.59564876556396,0.22736525535583496
output5.ts,6972920,439.1249656677246,0.2008800506591797
output16.ts,4495832,440.95224142074585,0.1989138126373291
output4.ts,5974076,442.60663986206055,0.20397663116455078
output15.ts,10896480,432.9243063926697,0.2717113494873047
output9.ts,8634464,443.6008810997009,0.2380228042602539
output6.ts,7490108,450.55577754974365,0.2076258659362793
output11.ts,8662288,448.5406279563904,0.20118474960327148
output13.ts,10118536,440.81951379776,0.2040538787841797
output25.ts,5734564,436.90946102142334,0.29485487937927246
output2.ts,5244072,444.56390142440796,0.20212197303771973
output26.ts,5520808,442.7052855491638,0.25958895683288574
output14.ts,10756984,441.01905822753906,0.30565500259399414
