video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,132.3488473892212,0.35434722900390625
output1.ts,5095740,132.52025842666626,0.34296441078186035
output7.ts,8027976,133.33168029785156,0.4868502616882324
output23.ts,5042724,133.46526622772217,0.3018021583557129
output22.ts,4866756,133.8067889213562,0.30771565437316895
output29.ts,6691296,129.55048084259033,0.3279876708984375
output24.ts,5454444,131.53316974639893,0.29042792320251465
output12.ts,8384424,131.05217218399048,0.29004907608032227
output28.ts,6103044,132.38449096679688,0.3192567825317383
output18.ts,3497928,129.99498844146729,0.2976961135864258
output20.ts,4647736,131.17693662643433,0.3006162643432617
output17.ts,3526128,132.668137550354,0.2908346652984619
output27.ts,6162828,131.72142505645752,0.31667661666870117
output19.ts,3990112,130.33283948898315,0.2620258331298828
output21.ts,4236392,131.90561532974243,0.2883162498474121
output10.ts,8562272,129.7601342201233,0.3265964984893799
output5.ts,6972920,131.40125274658203,0.2603273391723633
output16.ts,4495832,129.86031770706177,0.27340197563171387
output4.ts,5974076,136.4802360534668,0.31840968132019043
output15.ts,10896480,132.2784185409546,0.31400275230407715
output9.ts,8634464,129.44520711898804,0.25169944763183594
output6.ts,7490108,130.8017373085022,0.2726864814758301
output11.ts,8662288,131.33296966552734,0.31618738174438477
output13.ts,10118536,130.30028343200684,0.3138461112976074
output25.ts,5734564,133.9476227760315,0.25212693214416504
output2.ts,5244072,131.4928412437439,0.2561764717102051
output26.ts,5520808,131.35350942611694,0.29262471199035645
output14.ts,10756984,127.55645513534547,0.3109889030456543
