video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,180.0981640815735,0.25400447845458984
output15.ts,10896480,177.39462852478027,0.2217402458190918
output23.ts,5042724,177.82140970230103,0.2196345329284668
output26.ts,5520808,178.33902835845947,0.21462011337280273
output28.ts,6103044,176.4194369316101,0.22333693504333496
output21.ts,4236392,178.389573097229,0.6070566177368164
output12.ts,8384424,179.13769483566284,0.22729849815368652
output1.ts,5095740,178.17929983139038,0.21674227714538574
output13.ts,10118536,183.10871124267578,0.2215285301208496
output22.ts,4866756,178.62929105758667,0.21565985679626465
output10.ts,8562272,180.8392882347107,0.21851706504821777
output2.ts,5244072,178.16766500473022,0.21846365928649902
output5.ts,6972920,179.7931671142578,0.2124330997467041
output9.ts,8634464,179.88289594650269,0.2109990119934082
output18.ts,3497928,180.03658056259155,0.20657801628112793
output27.ts,6162828,179.80765104293823,0.21679019927978516
output8.ts,8307908,178.93717288970947,0.22355103492736816
output25.ts,5734564,177.48146057128906,0.21518158912658691
output29.ts,6691296,177.25170850753784,0.21302175521850586
output11.ts,8662288,179.0049433708191,1.489257574081421
output20.ts,4647736,176.8421769142151,0.21551084518432617
output24.ts,5454444,179.7830104827881,0.20936369895935059
output7.ts,8027976,179.33341264724731,0.20864629745483398
output4.ts,5974076,177.54385471343994,0.21832966804504395
output14.ts,10756984,178.90087366104126,0.21097922325134277
output16.ts,4495832,177.45941877365112,0.23126840591430664
output19.ts,3990112,179.05772924423218,0.2145087718963623
output6.ts,7490108,178.16925048828125,0.22469067573547363
