video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,138.35090398788452,0.33057236671447754
output15.ts,10896480,137.26965188980103,0.32376933097839355
output23.ts,5042724,138.22280168533325,0.29259157180786133
output26.ts,5520808,138.0192518234253,0.3070676326751709
output28.ts,6103044,137.07605600357056,0.31769394874572754
output21.ts,4236392,137.60643005371094,0.7602756023406982
output12.ts,8384424,137.74508237838745,0.3113095760345459
output1.ts,5095740,138.57016563415527,0.30567336082458496
output13.ts,10118536,137.54853010177612,0.2960517406463623
output22.ts,4866756,139.74847793579102,0.3008427619934082
output10.ts,8562272,137.18736171722412,0.3204505443572998
output2.ts,5244072,138.4127140045166,0.2916109561920166
output5.ts,6972920,139.0641689300537,0.30182671546936035
output9.ts,8634464,138.36709260940552,0.30539870262145996
output18.ts,3497928,139.3865942955017,0.30007004737854004
output27.ts,6162828,139.84990119934082,0.3162670135498047
output8.ts,8307908,137.7973198890686,0.2997925281524658
output25.ts,5734564,136.60824298858643,0.3069272041320801
output29.ts,6691296,138.77938985824585,0.3251309394836426
output11.ts,8662288,138.20724487304688,1.522782564163208
output20.ts,4647736,136.90265417099,0.2790253162384033
output24.ts,5454444,136.64939403533936,0.30236387252807617
output7.ts,8027976,138.48974704742432,0.29892468452453613
output4.ts,5974076,138.01920413970947,0.2987797260284424
output14.ts,10756984,137.6662015914917,0.30449557304382324
output16.ts,4495832,138.48291635513306,0.3040943145751953
output19.ts,3990112,138.3642554283142,0.3062770366668701
output6.ts,7490108,136.83053255081177,0.31595659255981445
