video,size[kb],exec_time[s],model_load[s]
output17.ts,3526128,256.35896921157837,0.2625620365142822
output15.ts,10896480,255.70365190505984,0.22761321067810059
output23.ts,5042724,251.82430744171143,0.22538161277770996
output26.ts,5520808,253.10264825820923,0.22443723678588867
output28.ts,6103044,250.01031160354614,0.21257758140563965
output21.ts,4236392,252.92246341705322,0.6346917152404785
output12.ts,8384424,254.51786518096924,0.22114253044128418
output1.ts,5095740,251.9028544425964,0.23147201538085938
output13.ts,10118536,253.35609912872314,0.22345280647277832
output22.ts,4866756,249.94847774505615,0.22954344749450684
output10.ts,8562272,251.26714706420898,0.2080063819885254
output2.ts,5244072,249.47874546051025,0.22391366958618164
output5.ts,6972920,251.2708306312561,0.2237095832824707
output9.ts,8634464,251.2242317199707,0.22267580032348633
output18.ts,3497928,252.7575969696045,0.21764302253723145
output27.ts,6162828,249.79331493377686,0.23125147819519043
output8.ts,8307908,252.91091203689575,0.21192717552185059
output25.ts,5734564,250.83469152450562,0.2126152515411377
output29.ts,6691296,247.9879379272461,0.20841026306152344
output11.ts,8662288,254.16563749313354,1.5022618770599365
output20.ts,4647736,250.93364715576172,0.21769165992736816
output24.ts,5454444,253.3490777015686,0.22249650955200195
output7.ts,8027976,251.97906494140625,0.21955108642578125
output4.ts,5974076,252.96677350997925,0.2223348617553711
output14.ts,10756984,253.29899787902832,0.2370743751525879
output16.ts,4495832,249.90345239639282,0.23393726348876953
output19.ts,3990112,249.81300830841064,0.23028969764709473
output6.ts,7490108,249.2501974105835,0.23458242416381836
