video,size[kb],exec_time[s],model_load[s]
output8.ts,8307908,286.9018077850342,0.3642086982727051
output1.ts,5095740,286.62763833999634,0.28229355812072754
output7.ts,8027976,267.59276390075684,0.289203405380249
output23.ts,5042724,285.6951594352722,0.19917941093444824
output22.ts,4866756,285.95073223114014,0.27032995223999023
output29.ts,6691296,294.16542053222656,0.2712404727935791
output24.ts,5454444,334.3616247177124,0.2584683895111084
output12.ts,8384424,285.96330881118774,0.3026885986328125
output28.ts,6103044,283.03420543670654,0.22663211822509766
output18.ts,3497928,288.09508085250854,0.2651069164276123
output20.ts,4647736,283.9090824127197,0.2960240840911865
output17.ts,3526128,280.6301236152649,0.21210551261901855
output27.ts,6162828,280.5863380432129,0.2525508403778076
output19.ts,3990112,280.7334303855896,0.2555203437805176
output21.ts,4236392,279.40261363983154,0.2101130485534668
output10.ts,8562272,279.7464966773987,0.19121074676513672
output5.ts,6972920,277.9096484184265,0.23519325256347656
output16.ts,4495832,267.3368811607361,0.19308137893676758
output4.ts,5974076,288.21295499801636,0.20208263397216797
output15.ts,10896480,277.9893159866333,0.2556002140045166
output9.ts,8634464,278.6056399345398,0.25011324882507324
output6.ts,7490108,275.12619495391846,0.22030067443847656
output11.ts,8662288,277.7123808860779,0.2305004596710205
output13.ts,10118536,273.69951009750366,0.2551863193511963
output25.ts,5734564,252.8380274772644,0.24875211715698242
output2.ts,5244072,272.6099491119385,0.20662236213684082
output26.ts,5520808,217.8856611251831,0.19928479194641113
output14.ts,10756984,221.57002687454224,0.20489764213562012
